9

Author: Jake Vallow
Organisation: University of York, Wolfson Atmospheric Chemistry Laboratory
contact: jake.vallow@york.ac.uk
Instrument ID: Single Channel NO-LIF, laser 3
label: Example data
Reprocessed on: 2025/05/22 15:57:18
Time reference: (seconds since 1904-01-01 00:00:00)
Permalink to reprocess code: 

mac_time_s,lsr_pwr_on_mW,lsr_pwr_off_mW,lsr_pwr_mW,sig_A_on_cts,sig_A_off_cts,sig_A_diff_cts,task,cal_mfc,blc_flag_0,blc_flag_1,sig_cell_flow,cell_pressure,ref_cell_flow
3814306148.061,0.4990325,0.50136,0.50019625,534619.1434420041,112378.68345882329,422240.4599831808,2.0,0.5029296875,1.0,1.0,0.939010756688,99.3879950523,0.503854999542
3814306148.161,0.49754,0.505655,0.5015974999999999,536615.3571261456,110131.24510424859,426484.11202189705,2.0,0.5029296875,1.0,1.0,0.939010756688,99.3879950523,0.503854999542
3814306148.261,0.49688875,0.49827,0.497579375,525878.5708365614,113071.5024617477,412807.06837481365,2.0,0.5029296875,1.0,1.0,0.947428597737,102.237626553,0.497719664574
3814306148.361,0.49690375,0.503325,0.500114375,524264.84680524457,116965.80738832348,407299.0394169211,2.0,0.5029296875,1.0,1.0,0.947428597737,102.237626553,0.497719664574
3814306148.461,0.49713874999999996,0.503835,0.500486875,528949.4472780454,108779.82220555615,420169.6250724892,2.0,0.49609375,1.0,1.0,0.970298279821,99.6592383385,0.501225934029
3814306148.561,0.49615,0.500375,0.4982625,525390.6412728815,110291.02198424557,415099.61928863596,2.0,0.49609375,1.0,1.0,0.970298279821,99.6592383385,0.501225934029
3814306148.661,0.4979275,0.5047699999999999,0.50134875,530385.0373019989,109911.73557323168,420473.3017287672,2.0,0.49609375,1.0,1.0,1.02338115687,99.3879950523,0.496842460632
3814306148.761,0.49543375,0.49565499999999996,0.495544375,515693.4211841157,118392.79360112333,397300.62758299237,2.0,0.49609375,1.0,1.0,1.02338115687,99.3879950523,0.496842460632
3814306148.861,0.495735,0.502295,0.499015,521435.18270817143,111664.83166101149,409770.35104715993,2.0,0.49609375,1.0,1.0,1.03667689765,100.744999981,0.501225934029
3814306148.961,0.49303624999999995,0.50404,0.498538125,523949.8968035426,108502.7543417712,415447.14246177144,2.0,0.49609375,1.0,1.0,1.03667689765,100.744999981,0.501225934029
3814306149.061,0.492445,0.493705,0.49307500000000004,522673.3866233356,114390.17774820932,408283.20887512626,2.0,0.510937511921,1.0,1.0,1.03304990154,102.509066963,0.502101864815
3814306149.161,0.49292250000000004,0.5081,0.50051125,518587.6477332484,111273.46631360723,407314.1814196412,2.0,0.510937511921,1.0,1.0,1.03304990154,102.509066963,0.502101864815
3814306149.261,0.48984875,0.502785,0.496316875,511434.91325299884,108908.37784721694,402526.53540578193,2.0,0.510937511921,1.0,1.0,1.04030467718,99.3879950523,0.500348730087
3814306149.361,0.49064625000000006,0.497305,0.49397562500000003,508314.0643609783,112891.9706007754,395422.09376020293,2.0,0.510937511921,1.0,1.0,1.04030467718,99.3879950523,0.500348730087
3814306149.461,0.4901375,0.5021100000000001,0.49612375000000003,511297.53880405694,112186.94628850855,399110.5925155484,2.0,0.510937511921,1.0,1.0,1.052405864,98.3022334099,0.500348730087
3814306149.561,0.4899575,0.49781,0.49388374999999995,512405.1720985457,111451.398241739,400953.7738568067,2.0,0.510937511921,1.0,1.0,1.052405864,98.3022334099,0.500348730087
3814306149.661,0.49073500000000003,0.50028,0.4955075,513726.22222540225,110933.35733091526,402792.86489448696,2.0,0.48496094346,1.0,1.0,1.00767935725,98.0307929993,0.501225934029
3814306149.761,0.49161625,0.5047200000000001,0.498168125,502904.35232141166,108760.65638625914,394143.69593515253,2.0,0.48496094346,1.0,1.0,1.00767935725,98.0307929993,0.501225934029
3814306149.861,0.48844750000000003,0.49777499999999997,0.49311125,509039.5599459473,116816.74429248396,392222.81565346336,2.0,0.48496094346,1.0,1.0,0.958258055049,100.20211916,0.499472799301
3814306149.961,0.4900825,0.50046,0.49527125,505702.00459694903,110066.90511900632,395635.0994779427,2.0,0.48496094346,1.0,1.0,0.958258055049,100.20211916,0.499472799301
3814306150.061,0.48953500000000005,0.49522,0.4923775,505338.6255047683,115381.87766408315,389956.74784068513,2.0,0.48496094346,1.0,1.0,0.960665753228,100.880621624,0.502977795601
3814306150.161,0.48631875,0.49613999999999997,0.49122937499999997,505091.08847088943,109437.02086381815,395654.06760707125,2.0,0.48496094346,1.0,1.0,0.960665753228,100.880621624,0.502977795601
3814306150.261,0.48295,0.49002,0.486485,508531.01701496524,114566.37160377766,393964.64541118755,2.0,0.4990234375,1.0,1.0,0.977527643949,101.423502445,0.49859559536
3814306150.361,0.48513875,0.500685,0.492911875,484291.02871478157,107915.99342815689,376375.0352866247,2.0,0.4990234375,1.0,1.0,0.977527643949,101.423502445,0.49859559536
3814306150.461,0.4859375,0.49795999999999996,0.49194875,489570.7584213478,116438.24310561252,373132.5153157353,2.0,0.4990234375,1.0,1.0,0.995612142207,101.152062035,0.500348730087
3814306150.561,0.481815,0.49115,0.4864825,491544.1342892788,114500.91086995174,377043.22341932706,2.0,0.4990234375,1.0,1.0,0.995612142207,101.152062035,0.500348730087
3814306150.661,0.48299125,0.498455,0.490723125,497379.0601632827,113813.30715388503,383565.75300939765,2.0,0.4990234375,1.0,1.0,1.02700606375,97.7595497131,0.504730930328
3814306150.761,0.48192375,0.49943,0.490676875,492481.07270424865,112905.93404439135,379575.13865985733,2.0,0.4990234375,1.0,1.0,1.02700606375,97.7595497131,0.504730930328
3814306150.861,0.48036999999999996,0.49324,0.486805,487387.79296778666,114453.88511818385,372933.9078496028,2.0,0.508203148842,1.0,1.0,1.01371622962,102.916326141,0.506484065056
3814306150.961,0.48122375,0.48826,0.484741875,481451.9805962995,122083.25206697188,359368.72852932767,2.0,0.508203148842,1.0,1.0,1.01371622962,102.916326141,0.506484065056
3814306151.061,0.47924999999999995,0.48726,0.483255,484087.2556157145,120960.98805388628,363126.2675618282,2.0,0.508203148842,1.0,1.0,0.970298279821,100.066497517,0.503854999542
3814306151.161,0.47628625,0.49919,0.487738125,484041.91371616337,117235.571315103,366806.3424010604,2.0,0.508203148842,1.0,1.0,0.970298279821,100.066497517,0.503854999542
3814306151.261,0.476225,0.49497,0.4855975,489932.91717060946,121155.79842302504,368777.1187475844,2.0,0.508203148842,1.0,1.0,1.02338115687,98.5736738205,0.501225934029
3814306151.361,0.4768175,0.49111000000000005,0.48396375,488509.76360415627,115785.28007845824,372724.483525698,2.0,0.508203148842,1.0,1.0,1.02338115687,98.5736738205,0.501225934029
3814306151.461,0.47565500000000005,0.4909,0.4832775,497504.9544672413,126427.16910088697,371077.78536635434,2.0,0.49941405654,1.0,1.0,1.00043868459,100.880621624,0.502977795601
3814306151.561,0.47856375,0.488,0.48328187499999997,468595.4455954016,115943.5198716448,352651.9257237568,2.0,0.49941405654,1.0,1.0,1.00043868459,100.880621624,0.502977795601
3814306151.661,0.47645625,0.497765,0.487110625,477412.02627654816,112776.08848702884,364635.9377895193,2.0,0.49941405654,1.0,1.0,0.964277079149,100.744999981,0.507359995842
